Date,Close,Volume,Open,High,Low,Range,prev_day_close,vix_open,vix_close,vix_range
2017-01-30,124.82,24959320,125.37,125.38,124.13,1.0019638491443228,124.57,11.1,11.88,15.000000000000005
2017-01-27,125.8,15033140,125.8,125.9211,125.39,0.4226633841481694,124.82,10.57,10.58,4.92424242424242
2017-01-26,125.56,15792880,125.59,125.82,125.3438,0.37919477249507416,125.8,10.61,10.63,3.794539565016198
2017-01-25,125.43,14997490,124.94,125.46,124.85,0.4873956294195193,125.56,10.79,10.81,5.009276437847874
2017-01-24,124.18,17595740,123.59,124.37,123.3847,0.7953834982747123,125.43,11.82,11.07,7.413868294810305
2017-01-23,123.35,17397930,123.16,123.53,122.57,0.7801706623323917,124.18,12.3,11.77,8.50888062783973
2017-01-20,123.25,21995740,123.51,123.83,122.92,0.7375886524822667,123.35,12.58,11.54,8.789386401326704
2017-01-19,122.98,12631070,123.19,123.65,122.72,0.7549620489507706,123.25,12.58,12.78,8.722986247544199
2017-01-18,123.04,12470370,122.96,123.16,122.66,0.40680172483931337,122.98,11.79,12.48,9.142857142857151
2017-01-17,122.79,14473180,122.79,123.03,122.4342,0.4854475723954833,123.04,12.2,11.87,7.823960880195606
2017-01-13,123.16,16910070,122.81,123.37,122.8,0.463094609416263,122.79,11.45,11.23,6.028368794326239
2017-01-12,122.74,19583300,122.49,122.819,121.6,0.9974674636587241,123.16,11.48,11.54,10.70234113712374
2017-01-11,122.93,20617710,122.63,122.93,122.02,0.743008777301499,122.74,11.56,11.26,8.703071672354945
2017-01-10,122.6,16161420,122.37,122.97,122.1,0.7100012241400454,122.93,11.59,11.49,4.155844155844144
2017-01-09,122.33,18870050,122.03,122.55,121.95,0.4907975460122653,122.6,11.71,11.56,5.26762956669498
2017-01-06,121.93,24013960,120.99,122.25,120.685,1.2884104801695908,122.33,11.7,11.32,6.69014084507042
2017-01-05,120.87,20613260,120.16,120.95,120.1,0.7052478738850931,121.93,11.96,11.67,5.874840357598973
2017-01-04,120.19,19675960,119.67,120.41,119.6561,0.6280770171215357,120.87,12.78,11.85,9.578387228817027
2017-01-03,119.54,22262460,119.31,119.99,118.89,0.9209645010046837,120.19,14.07,12.85,9.063893016344728
2016-12-30,118.48,41574380,119.93,119.95,118.14,1.5204334495358918,119.54,13.2,14.04,11.756220699603311
2016-12-29,119.71,13250980,119.86,120.13,119.33,0.6681700492775388,118.48,13.15,13.37,5.701425356339096
