date,open,high,low,close,volume
5/7/01,85.2997,85.6494,84.8761,84.8828,7185200
5/8/01,85.2997,85.4611,84.4256,84.8425,6952600
5/9/01,84.2172,85.0913,84.0894,84.4861,9507400
5/10/01,85.5687,85.73,84.5668,84.7349,6872400
5/11/01,84.7215,85.0509,83.6456,84.1499,7734400
5/14/01,83.9818,84.3449,83.686,84.318,7914000
5/15/01,84.4189,85.0576,83.9482,84.708,9782200
5/16/01,83.9415,86.8731,83.7936,86.705,14909000
5/17/01,86.7386,87.4648,86.4428,86.8395,11824600
5/18/01,86.7991,87.2362,86.1335,87.2362,6683100
5/21/01,87.3034,88.6482,86.8395,88.5205,11531500
5/22/01,88.6415,88.8163,88.1305,88.4062,8342700
5/23/01,88.117,88.117,86.9067,86.9067,12330800
5/24/01,87.0547,87.411,86.4361,87.1622,7902800
5/25/01,87.1757,87.2093,85.999,86.1335,7425000
5/29/01,86.2142,86.3016,85.3266,85.4476,9003900
5/30/01,85.1182,85.4544,84.0491,84.2508,10041800
5/31/01,84.3382,85.2325,84.2239,84.6878,9874200
6/1/01,84.8559,85.4611,84.1297,85.2123,8848300
6/4/01,85.2594,85.683,84.7752,85.6225,5623500
6/5/01,85.7233,86.8933,85.5754,86.6042,9115400
6/6/01,86.6243,86.6243,85.6359,85.8847,12064900
6/7/01,85.4275,86.3016,85.3938,86.194,7355300
6/8/01,85.8645,85.9788,84.8156,85.3938,8170600
6/11/01,85.1988,85.3871,84.3247,84.7887,7012200
6/12/01,83.9549,85.219,83.4036,84.6408,9364400
6/13/01,84.8358,85.1114,83.8137,83.9146,7629400
6/14/01,83.4977,83.5784,81.8638,82.0319,12603000
6/15/01,81.5298,82.5345,81.1859,82.1637,16821100
6/18/01,82.0288,82.5615,81.5298,81.7658,11368300
6/19/01,82.521,82.8649,81.5163,82.1232,7732300
6/20/01,81.7186,82.8447,81.6579,82.5548,8787200
6/21/01,82.4132,83.8225,82.366,83.492,12259100
6/22/01,83.2695,83.337,82.3727,82.838,12212000
6/25/01,83.1279,83.2358,81.9277,82.076,8406800
6/26/01,81.5231,82.5278,81.3006,81.9614,8005800
6/27/01,81.9951,82.4266,81.5298,81.9142,10105100
6/28/01,82.2648,83.573,82.2176,82.366,10269300
6/29/01,82.8043,83.6202,82.4401,82.6694,9824200
7/2/01,82.8043,83.8292,82.6829,83.7011,8522200
7/3/01,83.5999,83.6808,82.9728,83.6808,3303100
7/5/01,82.9863,83.3774,82.0356,82.049,5517900
7/6/01,81.7995,81.9209,80.2756,80.2756,11665900
7/9/01,80.5723,81.2803,80.3768,80.7139,8339300
7/10/01,81.1118,81.3478,79.7092,79.7429,8630700
7/11/01,79.635,80.1677,78.954,79.8238,15328600
7/12/01,80.5791,81.9074,80.4509,81.7186,12002800
7/13/01,81.4826,82.4806,81.3343,82.4266,10433800
7/16/01,82.1097,82.4536,81.1118,81.395,6915300
7/17/01,81.0511,82.2311,80.8016,82.1569,7469800
7/18/01,81.2938,82.0221,80.9567,81.5973,7709300
7/19/01,82.3862,82.9256,81.4287,82.312,10082900
7/20/01,81.6917,82.2244,81.5366,81.8198,6705800
7/23/01,82.13,82.1839,80.2082,80.2082,8065200
7/24/01,80.2419,80.3768,78.7247,79.4327,12269000
7/25/01,79.5137,80.5656,79.2035,80.3093,12088500
7/26/01,80.2824,81.4894,79.9452,81.1522,12898200
7/27/01,81.4759,81.8265,80.8555,81.4624,8478800
7/30/01,81.7186,81.8265,81.1185,81.4894,8547700
7/31/01,81.5905,82.7233,81.4557,81.8265,11918100
8/1/01,82.2446,82.7368,81.9614,82.339,11940800
8/2/01,83.0942,83.1077,82.1906,82.6761,11070100
8/3/01,82.5076,82.5076,81.5231,82.2244,10816300
8/6/01,81.8265,81.9344,80.9836,81.1185,8550100
8/7/01,81.0983,81.7254,80.8555,81.4354,8865100
8/8/01,80.9971,81.6984,79.8576,79.925,15183800
8/9/01,80.0396,80.2217,79.4732,80.161,14118500
8/10/01,80.1071,80.8083,79.1226,80.4375,11173300
8/13/01,80.6465,80.8151,80.1138,80.4577,7431600
8/14/01,81.0106,81.1522,80.1071,80.424,13178100
8/15/01,80.397,80.6532,79.6216,79.7294,8520600
8/16/01,79.4327,80.0733,78.8933,80.0059,10734700
8/17/01,79.3316,79.48,78.2257,78.7247,11604600
8/20/01,78.7584,79.5002,78.5899,79.453,10417400
8/21/01,79.4327,79.9317,78.0841,78.0976,14480800
8/22/01,78.7247,79.1833,78.0707,78.9068,11752300
8/23/01,78.8663,79.2439,78.5494,78.6236,8744100
8/24/01,79.0349,80.3296,78.718,80.2554,11687700
8/27/01,80.2217,80.3768,79.7429,79.7766,7425100
8/28/01,79.7564,79.898,78.6101,78.6101,12046600
8/29/01,78.981,79.0147,77.6593,77.9088,16180000
8/30/01,77.4436,78.0437,75.5488,76.4119,17692600
8/31/01,76.4658,77.3896,76.2838,76.9715,15985400
9/4/01,76.7693,78.3336,76.4456,76.4793,24473400
9/5/01,76.6681,76.9985,75.4881,76.6681,21477100
9/6/01,75.9601,76.3984,74.6924,74.6924,21653000
9/7/01,74.1867,75.0161,73.2494,73.3101,33133900
9/10/01,72.6223,74.4092,72.6223,74.2069,23408700
9/17/01,68.1045,71.7457,67.4302,70.3297,32388700
9/18/01,70.3499,71.004,69.6958,70.1611,22029200
9/19/01,70.1948,70.4645,66.4592,68.7451,42771800
9/20/01,67.6999,68.6507,66.4592,66.5603,36210900
9/21/01,63.8143,67.0023,63.4894,65.8449,49782100
9/24/01,67.4964,68.4711,67.0497,68.1598,25549600
9/25/01,68.1936,69.0397,67.6183,68.8705,25466200
9/26/01,69.2766,69.3104,67.977,68.6268,18587500
9/27/01,68.532,69.236,67.686,69.2224,20536800
9/28/01,69.703,74.1973,69.3781,70.6912,21687200
10/1/01,70.3257,70.61,69.6015,70.5761,20457400
10/2/01,70.3934,71.4628,70.1565,71.4628,19833100
10/3/01,70.7995,73.0196,70.6303,72.6609,32045800
10/4/01,73.2971,73.7574,72.2548,72.7218,32674100
10/5/01,72.5932,72.8436,71.4222,72.5796,29796100
10/8/01,71.9299,72.627,71.6591,72.1058,12970300
10/9/01,72.16,72.2548,71.4764,71.72,15976300
10/10/01,71.6117,73.4731,71.4222,73.3174,19987400
10/11/01,73.7438,74.6576,73.7438,74.4545,23006300
10/12/01,73.8792,74.3801,72.627,74.1161,31360500
10/15/01,73.5272,74.0823,73.1414,73.9807,16873000
10/16/01,74.3192,74.8674,73.7438,74.4478,15877100
10/17/01,75.1788,75.2329,72.8639,72.8639,28542300
10/18/01,72.979,73.2091,72.2548,72.7082,16510000
10/19/01,72.424,73.0399,71.7539,72.6609,21912500
10/22/01,72.627,74.1635,72.5661,74.0958,17540600
10/23/01,74.4275,74.6441,73.358,73.7168,22062500
10/24/01,73.7642,74.0823,73.2497,73.5205,16065200
10/25/01,72.7286,74.8607,72.248,74.8404,27467900
10/26/01,74.4207,75.6661,74.2312,74.6711,18623300
10/29/01,74.5628,74.8268,72.7286,72.7286,18727500
10/30/01,72.6609,72.8978,71.4493,71.8554,26178600
10/31/01,72.3563,73.0061,71.6117,71.6117,28124200
11/1/01,72.1532,73.7845,71.544,73.446,29806800
11/2/01,73.3986,74.0349,73.0128,73.9469,17575900
11/5/01,74.5358,75.1923,74.4207,74.9148,15929500
11/6/01,74.6914,76.1332,74.353,76.079,23245800
11/7/01,75.6526,76.5663,75.5646,75.9775,19716000
11/8/01,76.3971,77.2161,75.7406,76.2144,22563500
11/9/01,75.9775,76.458,75.4292,76.2956,15895800
11/12/01,75.1314,76.2482,74.4545,75.8286,26068800
11/13/01,76.7829,77.5343,76.607,77.5343,15296200
11/14/01,77.9539,78.1096,76.9657,77.6087,17571300
11/15/01,77.4124,77.9607,77.1146,77.7509,19470200
11/16/01,77.893,77.9065,76.7559,77.4057,18134900
11/19/01,77.7847,78.4142,77.4666,78.36,13625400
11/20/01,78.0893,78.3803,77.5952,77.7035,16209700
11/21/01,77.5004,77.6155,76.8303,77.1891,11470200
11/23/01,77.1891,78.3465,77.162,78.2991,6717100
11/26/01,78.3465,78.7458,77.8862,78.4683,13726000
11/27/01,78.2585,79.1249,77.2229,78.1299,19261400
11/28/01,77.6629,77.9539,76.6543,76.7153,20195500
11/29/01,76.9319,77.7847,76.4851,77.7509,16354700
11/30/01,77.4327,77.7779,77.1755,77.1958,13680300
12/3/01,76.9251,77.2161,76.4919,76.7356,15220400
12/4/01,77.1078,78.0419,76.722,78.0351,17239900
12/5/01,78.2517,79.8694,78.2179,79.4633,25204000
12/6/01,79.4227,79.8288,79.1452,79.4227,17972900
12/7/01,79.1249,79.2535,78.3126,78.8947,18857800
12/10/01,78.4142,78.7797,77.3989,77.4192,13862700
12/11/01,77.7712,78.3262,77.0943,77.2635,20833300
12/12/01,77.5343,77.6899,76.5596,77.3515,16171500
12/13/01,76.7897,76.9589,75.8353,75.8489,19026700
12/14/01,76.0316,76.8168,75.8083,76.5731,16721900
12/17/01,76.4784,77.4057,76.4174,77.365,13925900
12/18/01,77.5884,77.9404,77.3921,77.8253,13663700
12/19/01,77.2229,78.4616,77.162,78.3736,20143400
12/20/01,78.1773,78.3803,77.5343,77.6019,14867900
12/21/01,78.1253,78.1525,77.5616,78.071,14037700
12/24/01,77.9895,78.1321,77.8401,77.9216,5728800
12/26/01,77.8673,78.9268,77.8673,78.3495,10304800
12/27/01,78.3087,78.8385,78.2748,78.8249,9407300
12/28/01,78.9811,79.2935,78.7298,78.7841,10593800
12/31/01,78.886,79.049,77.582,77.6295,14619500
1/2/02,78.1797,78.6143,77.2967,78.4649,18651900
1/3/02,78.5464,79.4294,78.4717,79.3546,15743000
1/4/02,79.5788,80.1289,79.1577,79.8844,20140700
1/7/02,79.9387,80.1357,79.1645,79.3207,13106500
1/8/02,79.3207,79.5041,78.7638,79.1373,12683700
1/9/02,79.246,79.9931,78.3359,78.4921,16610300
1/10/02,78.5736,79.0218,78.3087,78.8385,12823400
1/11/02,78.9268,78.9743,77.9012,78.0642,13708400
1/14/02,77.8673,77.9963,77.3986,77.5752,12301100
1/15/02,77.7993,78.3698,77.3579,78.2068,20219900
1/16/02,77.6295,77.6975,76.5361,76.6244,17067000
